V,E,I,R
0.022350114,0.12235011,0.22235012,0.00060802506
0.90982693,1.0,1.0,0.90982693
0.017475989,0.11747599,0.217476,0.0004464802
0.02961943,0.12961943,0.22961943,0.00088156725
0.017509557,0.11750956,0.21750957,0.00044753472
0.018142108,0.11814211,0.2181421,0.00046755423
0.024845436,0.12484544,0.22484544,0.0006974345
0.022478504,0.12247851,0.22247851,0.00061251305
0.06690371,0.1669037,0.2669037,0.0029803738
0.02317551,0.12317551,0.22317551,0.00063708914
0.9217811,1.0,1.0,0.9217811
0.03191915,0.13191915,0.23191915,0.00097655295
0.16677716,0.26677716,0.36677718,0.016318774
0.01685008,0.11685008,0.21685009,0.00042696335
0.18374003,0.28374004,0.38374004,0.020006059
0.027506804,0.1275068,0.2275068,0.0007979357
0.019966036,0.11996604,0.21996604,0.0005268728
0.019568676,0.119568676,0.21956868,0.0005137469
0.017934537,0.11793454,0.21793453,0.00046095363
0.06227399,0.16227399,0.262274,0.0026503964
0.017627545,0.117627546,0.21762756,0.00045124747
0.021307705,0.12130771,0.22130771,0.00057203375
0.84606963,0.94606966,1.0,0.8004408
0.020215968,0.12021597,0.22021598,0.00053518696
0.017259333,0.11725934,0.21725933,0.00043969334
0.02761149,0.12761149,0.2276115,0.000801999
0.998103,1.0,1.0,0.998103
0.019549947,0.119549945,0.21954995,0.0005131311
0.09347093,0.19347093,0.29347092,0.005307101
0.018055337,0.118055336,0.21805534,0.00046479126
0.99379504,1.0,1.0,0.99379504
0.016561339,0.11656134,0.21656135,0.00041805257
0.029929748,0.12992975,0.22992975,0.00089414266
0.8583034,0.95830345,1.0,0.82251513
0.01745923,0.11745923,0.21745923,0.00044595407
0.016561339,0.11656134,0.21656135,0.00041805257
0.020215968,0.12021597,0.22021598,0.00053518696
0.018493311,0.11849331,0.21849331,0.00047879177
0.90723,1.0,1.0,0.90723
0.96573836,1.0,1.0,0.96573836
0.021064695,0.12106469,0.2210647,0.00056375714
0.03771482,0.13771482,0.23771483,0.0012346646
0.017442483,0.11744249,0.21744248,0.00044542848
0.018725162,0.118725166,0.21872516,0.00048625842
